Region,City,Participa_mesas,Participa_electors,Participa_votes,Participa_percentage
DE LOS LAGOS,PUERTO VARAS,128,43875,23268,53.03
DE LOS LAGOS,PUQUELDON,14,4406,1330,30.19
DE LOS LAGOS,PURRANQUE,71,19788,9123,46.1
DE LOS LAGOS,PUYEHUE,35,11691,5097,43.6
DE LOS LAGOS,QUEILEN,19,6234,2403,38.55
DE LOS LAGOS,QUELLON,70,23017,8782,38.15
DE LOS LAGOS,QUEMCHI,34,8963,2865,31.96
DE LOS LAGOS,QUINCHAO,32,9251,2534,27.39
DE LOS LAGOS,RIO NEGRO,46,13459,6343,47.13
DE LOS LAGOS,SAN JUAN DE LA COSTA,32,8249,4037,48.94
DE LOS LAGOS,SAN PABLO,31,10152,4873,48.0
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,TOTAL,316,98558,40697,41.29
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,AYSEN,70,22646,9163,40.46
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CHILE CHICO,20,6423,1941,30.22
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,CISNES,18,4642,2115,45.56
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COCHRANE,13,3384,1440,42.55
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,COYHAIQUE,167,54221,23138,42.67
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,GUAITECAS,6,1696,499,29.42
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,LAGO VERDE,5,1247,476,38.17
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,O'HIGGINS,3,758,325,42.88
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,RIO IBAÑEZ,12,2971,1385,46.62
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,TORTEL,2,570,215,37.72
